Review ID,Airline Name,Overall_Rating,Review_Title,Review_Date,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food_Beverages,Ground Service,Inflight Entertainment,Wifi_Connectivity,Value For Money,Recommended,IATA CODE,tokenized_review,sentiment_score,sentiment_label
3801,Alaska Airlines,1,"""carpet was so dirty""",2023-07-24,24th July 2023,False," Never again! My ticket was messed up, I had to take a later flight and sit in the airport for 3 hours, replacement flight was in main cabin when I paid for 1st class, and the plane was SO DISGUSTING. The carpet was so dirty and sticky, it it pulled my shoe off. I cant believe this airline operates this way.",Boeing 737-800,Solo Leisure,First Class,Dallas to Seattle via Dallas,7/1/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,AS,"['never', 'ticket', 'mess', 'take', 'later', 'flight', 'sit', 'airport', 'hour', 'replacement', 'flight', 'main', 'cabin', 'pay', 'class', 'plane', 'disgust', 'carpet', 'dirty', 'sticky', 'pull', 'shoe', 'cant', 'believe', 'airline', 'operate', 'way']",-0.28449722222222223,Negative
3802,Alaska Airlines,1,"""have the audacity to be truthful""",2023-07-23,23rd July 2023,True,"  Booked a round trip with this company for a family ER. First flight crew was great. Returning Flight I had an altercation with their senior flight attendant who had a disgusting behavior and escalated a situation that could've easily been handled by proper customer service and communication. I approached her and another flight attendant to use the restrooms when it was last call for restrooms use. I was coldly told by both to use the back restrooms where there was a huge line. I explained that I was in a hurry to use it since I've been holding my son who's been asleep the majority of the flight. She said someone was in there. I was aware and asked if I could use it afterwards, the flight attendant seated next to her said ""Yes"" then the senior flight attendant said to me: Maybe if you ask with less attitude you can go in there. Surprised by her response I tell her I did not give her attitude and that she did not need to speak that way and it is true because I did not yell or curse anyone out and even I supposedly gave you attitude, Aren't you trained to handle this in a proper way maybe by communicating with the customer? No, she stood up aggressively, got in my face and started telling me out loud in front of customers that she will not tolerate me to speak with her that way, that I won't be using the restrooms and to take a seat. Sounds pretty personal at this point! Her reaction was unnecessary and all she did is escalate a little restroom situation to where I started yelling at her and pointing out her disgusting behavior. At this point she kept asking me to take a seat and I couldn't because who will take a seat after being spoken to the way she did? Someone without dignity for sure. At this point there's a lot of back and forth going on between us and she then tells me that I will be considered a threat and she will call authorities if I don't take a seat. She was a threat to me by the way she stood up and got in my face and no one in their right mind will tolerate that. At some point I take a seat after my partner comes to calm the situation, I asked her to call authorities. We finally land, authorities are there, my family and I are the first to get out of the plane. The lady that works for authorities asked for my version which I gave and she said that the FA told them that she asked me to take a seat and wait right after I asked to use the restrooms which is false. If you have the audacity to escalate a situation and be disrespectful at least have the audacity to be truthful too.",,Family Leisure,Premium Economy,San Francisco to Orlando,7/1/2023,1.0,1.0,1.0,1.0,1.0,4.0,1.0,no,AS,"['book', 'round', 'trip', 'company', 'family', 'er', 'first', 'flight', 'crew', 'great', 'return', 'flight', 'altercation', 'senior', 'flight', 'attendant', 'disgust', 'behavior', 'escalate', 'situation', 'could', 'easily', 'handle', 'proper', 'customer', 'service', 'communication', 'approach', 'another', 'flight', 'attendant', 'use', 'restroom', 'last', 'call', 'restroom', 'use', 'coldly', 'tell', 'use', 'back', 'restrooms', 'huge', 'line', 'explain', 'hurry', 'use', 'since', 'hold', 'son', 'asleep', 'majority', 'flight', 'say', 'someone', 'aware', 'ask', 'could', 'use', 'afterwards', 'flight', 'attendant', 'seat', 'next', 'say', 'yes', 'senior', 'flight', 'attendant', 'say', 'maybe', 'ask', 'less', 'attitude', 'go', 'surprised', 'response', 'tell', 'give', 'attitude', 'need', 'speak', 'way', 'true', 'yell', 'curse', 'anyone', 'even', 'supposedly', 'give', 'attitude', 'trained', 'handle', 'proper', 'way', 'maybe', 'communicate', 'customer', 'stand', 'aggressively', 'got', 'face', 'start', 'tell', 'loud', 'front', 'customer', 'tolerate', 'speak', 'way', 'wo', 'use', 'restroom', 'take', 'seat', 'sound', 'pretty', 'personal', 'point', 'reaction', 'unnecessary', 'escalate', 'little', 'restroom', 'situation', 'start', 'yell', 'point', 'disgust', 'behavior', 'point', 'keep', 'ask', 'take', 'seat', 'could', 'take', 'seat', 'spoken', 'way', 'someone', 'without', 'dignity', 'sure', 'point', 'lot', 'back', 'forth', 'go', 'u', 'tell', 'consider', 'threat', 'call', 'authority', 'take', 'seat', 'threat', 'way', 'stand', 'get', 'face', 'one', 'right', 'mind', 'tolerate', 'point', 'take', 'seat', 'partner', 'come', 'calm', 'situation', 'ask', 'call', 'authority', 'finally', 'land', 'authority', 'family', 'first', 'get', 'plane', 'lady', 'work', 'authority', 'ask', 'version', 'give', 'say', 'fa', 'tell', 'ask', 'take', 'seat', 'wait', 'right', 'ask', 'use', 'restroom', 'false', 'audacity', 'escalate', 'situation', 'disrespectful', 'least', 'audacity', 'truthful']",0.03654095238095239,Neutral
3803,Alaska Airlines,2,"""a lot of shortfalls all over the place""",2023-07-22,22nd July 2023,True,"  No in flight entertainment. Inconvenient food ordering system that has to be done in advance. People who had flight delays/changes with kids and planned to get food in the airport were at risk of having no food available because of the limited amount they had for those who didnâ€™t order in advance. My flights were either extremely hot or extremely cold. The first class seating had broken charging ports that had coffee spills on them. Stewardess simply said 3 of the first class chargers are broken (out of 8?), so the two of us in my row are out of luck. The tray between the two first class seats was just gross. Dirty. The ticket counter was absolute chaos both on the way here and on the way back. Half of the self serve baggage tag printers were out of paper resulting in long lines, and lots of anxious customers. I donâ€™t get it. I wouldnâ€™t normally add a review if I thought my experience was an isolated one but there seems to be a lot of shortfalls all over the place with this airline.",Boeing 737,Solo Leisure,First Class,Anchorage to Detroit via Seattle,7/1/2023,1.0,2.0,2.0,1.0,1.0,1.0,2.0,no,AS,"['flight', 'entertainment', 'inconvenient', 'food', 'order', 'system', 'do', 'advance', 'people', 'flight', 'kid', 'plan', 'get', 'food', 'airport', 'risk', 'food', 'available', 'limited', 'amount', 'order', 'advance', 'flight', 'either', 'extremely', 'hot', 'extremely', 'cold', 'first', 'class', 'seat', 'broken', 'charge', 'port', 'coffee', 'spill', 'stewardess', 'simply', 'say', 'first', 'class', 'charger', 'break', 'two', 'u', 'row', 'luck', 'tray', 'two', 'first', 'class', 'seat', 'gross', 'dirty', 'ticket', 'counter', 'absolute', 'chaos', 'way', 'way', 'back', 'half', 'self', 'serve', 'baggage', 'tag', 'printer', 'paper', 'result', 'long', 'line', 'lot', 'anxious', 'customer', 'get', 'normally', 'add', 'review', 'thought', 'experience', 'isolate', 'one', 'seem', 'lot', 'shortfall', 'place', 'airline']",-0.16689114774114774,Negative
3804,Alaska Airlines,1,"""Absolutely terrible experience""",2023-07-22,22nd July 2023,True,"  Absolutely terrible experience flying with Alaska. First of all, Iâ€™m still on the plane, it is extremely hot on here, and has been since we all loaded. There are no TVâ€™s on the back of the seats like most up to date airlines have. The isles are so small you canâ€™t walk to the bathroom because thereâ€™s almost always someone else in the isle already. I paid extra to sit behind first class in the premium seats but the perks that I paid extra for are non existent. I hit the assistance button to have a drink brought to me, but the stewardess told me to walk to the back of the plane if I want a drink. Also, the stewardess is extremely rude, she clearly hates her job and is not welcoming. I asked for milk for my daughter and she said they donâ€™t have milk. How do you carry sodas and juice and all the alcohol but not milk?! Weâ€™re going to try and switch our flight with another airline for the flight home because Alaska is so ancient and has been such a let down. Do not recommend. Oh and my seat doesnâ€™t recline. Iâ€™m in premium seating, it should recline. My husbands chair reclines but mine is broken I guess. Also, we struggled but managed to put our daughters car seat in the airline seat and we got her buckled up and then at take off they decided to tell us she needed to be in the window seat with a car seat -why wouldnâ€™t you tell us that during boarding?",,Family Leisure,Premium Economy,Austin to Seattle,7/1/2023,1.0,1.0,2.0,1.0,2.0,2.0,1.0,no,AS,"['absolutely', 'terrible', 'experience', 'fly', 'alaska', 'first', 'still', 'plane', 'extremely', 'hot', 'since', 'load', 'back', 'seat', 'like', 'date', 'airline', 'isles', 'small', 'walk', 'bathroom', 'almost', 'always', 'someone', 'else', 'isle', 'already', 'pay', 'extra', 'sit', 'behind', 'first', 'class', 'premium', 'seat', 'perk', 'pay', 'extra', 'non', 'existent', 'hit', 'assistance', 'button', 'drink', 'bring', 'stewardess', 'tell', 'walk', 'back', 'plane', 'want', 'drink', 'also', 'stewardess', 'extremely', 'rude', 'clearly', 'hate', 'job', 'welcome', 'ask', 'milk', 'daughter', 'say', 'milk', 'carry', 'sodas', 'juice', 'alcohol', 'milk', 'go', 'try', 'switch', 'flight', 'another', 'airline', 'flight', 'home', 'alaska', 'ancient', 'let', 'recommend', 'oh', 'seat', 'recline', 'premium', 'seat', 'recline', 'husband', 'chair', 'reclines', 'mine', 'break', 'guess', 'also', 'struggle', 'manage', 'put', 'daughter', 'car', 'seat', 'airline', 'seat', 'get', 'buckled', 'take', 'decide', 'tell', 'u', 'need', 'window', 'seat', 'car', 'seat', 'tell', 'u', 'board']",-0.11556925925925926,Negative
3805,Alaska Airlines,1,"""the pilot had no sense of urgency""",2023-07-21,21st July 2023,True, We were on a connecting flight to London and the pilot had no sense of urgency to give us updates on flight when we sat in the taxi like for an hour. We were 2 minutes late to our American flight and they still wouldnâ€™t let us in either. Cabin crew was great but pilot screwed us and American Airlines screwed us too.,,Business,Business Class,San Diego to Seattle,7/1/2023,3.0,5.0,5.0,1.0,,,1.0,no,AS,"['connect', 'flight', 'london', 'pilot', 'sense', 'urgency', 'give', 'u', 'updates', 'flight', 'sit', 'taxi', 'like', 'hour', 'minute', 'late', 'american', 'flight', 'still', 'let', 'u', 'either', 'cabin', 'crew', 'great', 'pilot', 'screw', 'u', 'american', 'airline', 'screw', 'u']",-0.07771666666666666,Negative
3806,Alaska Airlines,1,"""employees do not care about customers""",2023-07-18,18th July 2023,False,"  After 3 weeks of visiting my family in Washington, two of my children were returning to Texas today unaccompanied. My wife's and my names were added to the unaccompanied minor packet, however, the desk agent only added my wife's name into the system, preventing me from being able to get a security pass to meet them at the gate. The ticket agents at DFW airport told us of the error, but made no effort to attempt to find a way to rectify the situation or even show a basic level of human empathy. They said it was the fault of the SeaTac branch and was not their problem. They refused to take any company blame and instead continually tried to push off responsibility and without making any effort to solve a problem. I understand the original problem was created by the SeaTac ticket agent, and they need better training and attention to derail, but the lack of even average customer service at DFW ticket counter really irks me as with just minimal effort on their part, I would at least not be writing poor reviews about Alaskan Airlines. I did file a complaint directly with their company, but after seeing the way they Alaskan's employees represent this airline, I will be looking at taking my business to their competitors in the future. Donâ€™t fly with Alaskan Airlines, their airport employees do not care about their customers.",,Family Leisure,Economy Class,Seattle to Dallas,7/1/2023,1.0,1.0,,1.0,,,1.0,no,AS,"['week', 'visit', 'family', 'washington', 'two', 'child', 'return', 'texas', 'today', 'unaccompanied', 'wife', 'name', 'add', 'unaccompanied', 'minor', 'packet', 'however', 'desk', 'agent', 'add', 'wife', 'name', 'system', 'prevent', 'able', 'get', 'security', 'pas', 'meet', 'gate', 'ticket', 'agent', 'dfw', 'airport', 'tell', 'u', 'error', 'make', 'effort', 'attempt', 'find', 'way', 'rectify', 'situation', 'even', 'show', 'basic', 'level', 'human', 'empathy', 'say', 'fault', 'seatac', 'branch', 'problem', 'refuse', 'take', 'company', 'blame', 'instead', 'continually', 'tried', 'push', 'responsibility', 'without', 'make', 'effort', 'solve', 'problem', 'understand', 'original', 'problem', 'create', 'seatac', 'ticket', 'agent', 'need', 'good', 'train', 'attention', 'derail', 'lack', 'even', 'average', 'customer', 'service', 'dfw', 'ticket', 'counter', 'really', 'irk', 'minimal', 'effort', 'part', 'would', 'least', 'write', 'poor', 'review', 'alaskan', 'airline', 'file', 'complaint', 'directly', 'company', 'see', 'way', 'alaskan', 'employee', 'represent', 'airline', 'look', 'take', 'business', 'competitor', 'future', 'fly', 'alaskan', 'airline', 'airport', 'employee', 'care', 'customer']",-0.025788095238095242,Neutral
3807,Alaska Airlines,1,"""Worst flight experience of my life""",2023-07-17,17th July 2023,True," My partner and I were traveling from Seattle back home to San Francisco on 7/16/2023, and I purposefully purchased an earlier flight from Seattle as we were traveling on a Sunday and both of us had work the following morning. Our flight was scheduled to depart at 3:55 PM and was to land at SFO by 6:08 PM. First red flag: Alaska Airlines changed the gate to a completely different part of Seattle's airport last minute. Extremely inconvenient as this was done very close to the alleged boarding time, and Seattle's airport is massive and required several train transfers to reach the new gate. Second red flag: delays without any information. First the flight was delayed from 3:55 PM to 5:02 PM, but no information as to why. Then, the flight was delayed to 6 PM, again no information as to why. Then, 7:40.... 8:10....9:00....9:40....10:00....we finally departed at 10:19 PM (a 6 hour delay) as our airplane was broken and a crew was repairing it for hours. It took over 3 departure time changes for anyone to tell us what was going on, and the Alaskan Airlines representatives were basically unsure as to if we would even be leaving that day as it was ""all up in the air"". Why was there no back up airplane? Why not take an airplane that was scheduled to depart much later in the day/night, and have that flight then use our airplane that was being repaired? Alaska Airlines thought they could mend things by giving us each $100 flight credit to be used for a future flight (which will go to waste as I will never fly with Alaska Airlines again) as well as $24 meal vouchers per person, which if anyone knows the price of airport food then that's enough for maybe 1 sandwich and a drink. Worst flight experience of my life, never again will I fly with Alaska Airlines or recommend Alaska Airlines to friends/family.",,Couple Leisure,Economy Class,Seattle to San Francisco,7/1/2023,2.0,2.0,2.0,1.0,,,1.0,no,AS,"['partner', 'travel', 'seattle', 'back', 'home', 'san', 'francisco', 'purposefully', 'purchase', 'early', 'flight', 'seattle', 'travel', 'sunday', 'u', 'work', 'follow', 'morning', 'flight', 'schedule', 'depart', 'pm', 'land', 'sfo', 'pm', 'first', 'red', 'flag', 'alaska', 'airline', 'change', 'gate', 'completely', 'different', 'part', 'seattle', 'airport', 'last', 'minute', 'extremely', 'inconvenient', 'do', 'close', 'allege', 'boarding', 'time', 'seattle', 'airport', 'massive', 'require', 'several', 'train', 'transfer', 'reach', 'new', 'gate', 'second', 'red', 'flag', 'delay', 'without', 'information', 'first', 'flight', 'delay', 'pm', 'pm', 'information', 'flight', 'delay', 'pm', 'information', 'finally', 'depart', 'pm', 'hour', 'delay', 'airplane', 'break', 'crew', 'repair', 'hour', 'take', 'departure', 'time', 'change', 'anyone', 'tell', 'u', 'go', 'alaskan', 'airline', 'representative', 'basically', 'unsure', 'would', 'even', 'leave', 'day', 'air', 'back', 'airplane', 'take', 'airplane', 'schedule', 'depart', 'much', 'later', 'flight', 'use', 'airplane', 'repair', 'alaska', 'airline', 'think', 'could', 'mend', 'thing', 'give', 'u', 'flight', 'credit', 'use', 'future', 'flight', 'go', 'waste', 'never', 'fly', 'alaska', 'airline', 'well', 'meal', 'voucher', 'per', 'person', 'anyone', 'know', 'price', 'airport', 'food', 'enough', 'maybe', 'sandwich', 'drink', 'bad', 'flight', 'experience', 'life', 'never', 'fly', 'alaska', 'airline', 'recommend', 'alaska', 'airline']",-0.09428484848484849,Negative
3808,Alaska Airlines,9,"""cannot say enough good things""",2023-07-16,16th July 2023,False," This was my first time flying with Alaska Airlines and I cannot say enough good things. I could not get into the States from Canada to get my flight because I didn't have the ESTA, my kids and husband didn't need one because they are Canadian. We decided they should go ahead and I would wait and fly as soon as I received it. I called Alaska Airlines and they were amazing, no wait to talk to someone, and allowed me to change my flight as needed and only pay the difference. They did not have to do anything to help me really, as my ticket was one of the cheaper options. Once I got the document I needed three days later they got me on the next flight available. Every member of staff I talked with was so polite and professional. The flights went on time and arrived early. I have flown quite a lot in the past and have never been as impressed as I was with Alaska Airlines and I will go out of my way to fly with them again, even though there are usually other options that work better for me flying from Canada. I really don't understand why their rating is not higher.",,Family Leisure,Economy Class,Seattle to Kona,7/1/2023,5.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,AS,"['first', 'time', 'fly', 'alaska', 'airline', 'say', 'enough', 'good', 'thing', 'could', 'get', 'state', 'canada', 'get', 'flight', 'esta', 'kid', 'husband', 'need', 'one', 'canadian', 'decide', 'go', 'ahead', 'would', 'wait', 'fly', 'soon', 'receive', 'call', 'alaska', 'airline', 'amaze', 'wait', 'talk', 'someone', 'allow', 'change', 'flight', 'need', 'pay', 'difference', 'anything', 'help', 'really', 'ticket', 'one', 'cheap', 'option', 'get', 'document', 'need', 'three', 'day', 'later', 'get', 'next', 'flight', 'available', 'every', 'member', 'staff', 'talk', 'polite', 'professional', 'flight', 'go', 'time', 'arrive', 'early', 'fly', 'quite', 'lot', 'past', 'never', 'impress', 'alaska', 'airline', 'go', 'way', 'fly', 'even', 'though', 'usually', 'option', 'work', 'well', 'fly', 'canada', 'really', 'understand', 'rating', 'high']",0.14091,Positive
3809,Alaska Airlines,1,"""does not like itâ€™s customers""",2023-07-16,16th July 2023,True, Rude people on the phone refuse to supply info needed for flight such as gate and if any delays. No agent at ticket counter in Atlanta and phone agents said they couldnâ€™t help. Very rude gate agents. Itâ€™s like this airline does not like itâ€™s customers. Use another airline.,,Solo Leisure,Economy Class,Atlanta to Portland via Seattle,7/1/2023,2.0,2.0,1.0,1.0,1.0,,1.0,no,AS,"['rude', 'people', 'phone', 'refuse', 'supply', 'info', 'need', 'flight', 'gate', 'delay', 'agent', 'ticket', 'counter', 'atlanta', 'phone', 'agent', 'say', 'help', 'rude', 'gate', 'agent', 'like', 'airline', 'like', 'customer', 'use', 'another', 'airline']",-0.09459999999999999,Negative
3810,Alaska Airlines,1,"""one of the worst airlines""",2023-07-13,13th July 2023,False,"  Alaska Airlines in my opinion is one of the worst airlines I have ever flown. I was on a 5 hour flight and they don't provide you with a meal. They barely give you a snack. I couldn't get any streaming or even texting capabilities unless I wanted to purchase it for $8.00. Or if I was a member of team mobile! On each flight, they are lacking in overhead luggage space so they ask anyone wanting to check a bag will get the ability to get on the plane in group C. So much of an advantage. They don't seem to take the time to clean the aircraft in-between flights. They barely give you the included beverage. They have no in-flight movies unless you have your own mobile device which I couldn't use for their 700 free movies because I couldn't get into it without paying for streaming, but I was able to get into their commercial. They don't have enough space overhead, but if you don't bring on your own device, you are sitting there with nothing to do for 5 hours because you can't get it on your phone. In fact being on the plane is like one big commercial. They ask you if you want to open up their credit card and all the wonderful things you will get after you accrue 30,000 miles. Then the final thing, your luggage will be there in 20 minutes or we will give you some air miles. I will not be flying Alaska Airlines and they can keep your air miles and their nickel and dimming and in my opinion elitest practices. ",Boeing 737,Solo Leisure,Economy Class,New York to Portland,7/1/2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,AS,"['alaska', 'airline', 'opinion', 'one', 'worst', 'airline', 'ever', 'flown', 'hour', 'flight', 'provide', 'meal', 'barely', 'give', 'snack', 'could', 'get', 'stream', 'even', 'texting', 'capability', 'unless', 'wanted', 'purchase', 'member', 'team', 'mobile', 'flight', 'lack', 'overhead', 'luggage', 'space', 'ask', 'anyone', 'want', 'check', 'bag', 'get', 'ability', 'get', 'plane', 'group', 'much', 'advantage', 'seem', 'take', 'time', 'clean', 'aircraft', 'flight', 'barely', 'give', 'include', 'beverage', 'movie', 'unless', 'mobile', 'device', 'could', 'use', 'free', 'movie', 'could', 'get', 'without', 'pay', 'stream', 'able', 'get', 'commercial', 'enough', 'space', 'overhead', 'bring', 'device', 'sit', 'nothing', 'hour', 'ca', 'get', 'phone', 'fact', 'plane', 'like', 'one', 'big', 'commercial', 'ask', 'want', 'open', 'credit', 'card', 'wonderful', 'thing', 'get', 'accrue', 'mile', 'final', 'thing', 'luggage', 'minute', 'give', 'air', 'mile', 'fly', 'alaska', 'airline', 'keep', 'air', 'mile', 'nickel', 'dim', 'opinion', 'elite', 'practice']",0.08557380952380954,Positive
